FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
.htaccess,http://10.124.0.134:80/.htaccess,,24,200,603,104,22,,549.207648ms,,5066f18
favicon.ico,http://10.124.0.134:80/favicon.ico,,1758,200,0,1,1,image/vnd.microsoft.icon,362.096065ms,,5066f6de
index.php,http://10.124.0.134:80/index.php,,2193,200,663,44,15,text/html; charset=UTF-8,563.268484ms,,5066f891
robots.txt,http://10.124.0.134:80/robots.txt,,3569,200,24,2,3,text/plain; charset=UTF-8,876.605533ms,,5066fdf1
